naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Koek gevulde gem,411.0,6.4,59.9,15.8,2.0,0.0,0.0,
Koekje gem,475.0,5.7,65.1,20.7,2.6,0.0,0.0,
Kokosmakronen,455.0,4.0,59.0,21.2,5.9,0.0,0.0,
Lange vingers,402.0,7.2,84.8,3.5,1.0,0.0,0.0,
Speculaas gem,469.0,5.0,65.1,20.3,3.0,0.0,0.0,
Sprits m roomboter,489.0,4.9,49.6,29.8,1.3,0.0,0.0,
Biscuit tarwe-/volkoren-,459.0,7.8,70.7,14.9,5.5,150.0,0.0,stuk
Biscuit zoute,472.0,8.1,56.7,23.0,2.6,150.0,0.0,stuk
"Bladerdeeg z roomboter, bereid",614.0,7.0,40.0,47.0,1.4,60.0,0.0,
Broodje saucijzen-,356.0,7.2,28.5,23.4,1.4,0.0,0.0,
Pepsels,382.0,11.9,69.5,5.3,4.2,0.0,0.0,
Kroepoek naturel,516.0,3.5,62.0,28.0,1.0,0.0,0.0,
Melk e,71.0,3.4,4.4,4.4,0.0,0.0,200.0,glas
Melk koffie- Becel,112.0,7.1,11.0,4.4,0.0,0.0,125.0,kopje
Melk chocolade- volle,82.0,3.3,10.7,2.8,0.5,0.0,200.0,glas
Melk chocolade- magere,62.0,3.3,11.4,0.3,0.5,0.0,200.0,glas
Creamer koffie-,560.0,2.1,58.4,35.3,0.0,0.0,125.0,kopje
Vla chocolade- volle,88.0,2.4,13.4,2.6,0.8,0.0,0.0,
Yoghurt volle,56.0,3.8,3.4,2.7,0.0,0.0,150.0,bakje
Melk volle,61.0,3.3,4.5,3.4,0.0,0.0,200.0,glas
Melk koffie- volle,145.0,7.5,11.4,7.7,0.0,0.0,125.0,kopje
Melk gecondenseerde m suiker,330.0,8.1,54.7,8.8,0.0,150.0,200.0,glas
Vla vanille- volle,86.0,2.3,12.8,2.8,0.4,0.0,0.0,
Yoghurt vruchten- magere,67.0,3.0,12.4,0.2,0.6,0.0,150.0,bakje
Melk koffie- halfvolle,110.0,7.0,11.2,4.1,0.0,0.0,125.0,kopje
Melk halfvolle,45.0,3.4,4.7,1.4,0.0,0.0,200.0,glas
Pap havermout- bereid m volle melk,95.0,4.3,10.5,3.8,0.8,60.0,200.0,glas
Melk karne-,30.0,3.0,3.6,0.2,0.0,0.0,200.0,glas
Pap karnemelkse bloem-,52.0,3.7,7.8,0.5,0.1,0.0,200.0,glas
Topping m suiker poeder Klop-Klop,535.0,4.4,63.4,29.3,0.0,150.0,0.0,stuk
Melk koffie- magere,57.0,9.9,4.3,0.0,0.0,0.0,125.0,kopje
Room koffie-,210.0,3.3,3.8,20.2,0.0,0.0,125.0,kopje
Melk magere,35.0,3.7,4.9,0.1,0.0,0.0,200.0,glas
Melkpoeder magere,349.0,35.4,50.5,0.6,0.0,0.0,200.0,glas
Melkpoeder volle,478.0,23.9,37.0,26.0,0.0,0.0,200.0,glas
Melk moeder-,66.0,1.1,7.4,3.5,0.0,0.0,200.0,glas
Pap rijste-,86.0,3.1,12.0,2.9,0.1,0.0,0.0,
Room slag- onbereid,339.0,2.3,3.1,35.3,0.0,60.0,0.0,
Yoghurt Bulgaarse volle,77.0,4.5,4.5,4.3,0.0,0.0,150.0,bakje
Yoghurt magere,37.0,4.1,4.0,0.2,0.0,0.0,150.0,bakje
IJs room/vanille- gem,216.0,2.9,25.3,11.3,0.5,0.0,0.0,
Kaas strooi- Zwitserse,228.0,55.0,0.0,0.7,0.0,0.0,0.0,
Kwark magere,51.0,8.4,3.8,0.0,0.0,0.0,125.0,bakje
Kwark halfvolle,77.0,7.5,4.0,3.2,0.0,0.0,125.0,bakje
Kwark volle,118.0,7.5,3.6,8.0,0.0,0.0,125.0,bakje
Olie arachide-,900.0,0.0,0.0,100.0,0.0,0.0,0.0,
Boter,737.0,0.7,1.1,81.2,0.0,0.0,0.0,
Olie soja-,894.0,0.3,0.0,99.2,0.0,0.0,0.0,
Vet varkens- uitgesmolten,900.0,0.0,0.0,100.0,0.0,150.0,0.0,stuk
