naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Room slag- onbereid,339,"2,3","3,1","35,3",0,0.0,0,
Yoghurt Bulgaarse volle,77,"4,5","4,5","4,3",0,0.0,150,bakje
Yoghurt magere,37,"4,1",4,"0,2",0,0.0,150,bakje
IJs room/vanille- gem,216,"2,9","25,3","11,3","0,5",0.0,0,
Kaas strooi- Zwitserse,228,55,0,"0,7",0,0.0,0,
Kwark magere,51,"8,4","3,8",0,0,0.0,125,bakje
Kwark halfvolle,77,"7,5",4,"3,2",0,0.0,125,bakje
Kwark volle,118,"7,5","3,6",8,0,0.0,125,bakje
Olie arachide-,900,0,0,100,0,0.0,0,
Boter ongezouten,737,"0,7","1,1","81,2",0,0.0,0,
Olie soja-,894,"0,3",0,"99,2",0,0.0,0,
Vet varkens- uitgesmolten,900,0,0,100,0,150.0,0,stuk
Vet rund- uitgesmolten,891,0,0,99,0,150.0,0,stuk
Olie zonnebloem-,897,"0,3",0,"99,5",0,0.0,0,
Cornedbeef,208,"24,3","0,9","11,9",0,0.0,0,
Fazant,223,31,0,11,0,0.0,0,
Frikandel bereid m vloeibaar frituurvet,251,"13,8","6,7","18,4","1,8",0.0,0,
Kroket vlees- bereid m vloeibaar frituurvet,272,"8,9","20,9","16,6","1,9",0.0,0,
Ham e,188,"24,6","1,2","9,5",0,0.0,0,
Kalkoen,141,"21,8",0,6,0,0.0,0,
Pastei lever-,318,"14,2","1,7","28,3",0,0.0,0,
Luncheon meat blik,279,"12,9","3,3","23,8","0,2",0.0,0,
Patrijs,248,35,0,12,0,0.0,0,
Pekelvlees,184,"17,3","0,1","12,7",0,0.0,0,
Ree wild,122,"22,4",0,"3,6",0,0.0,0,
Runderrookvlees,108,22,"0,5",2,0,0.0,0,
Spek rook- vet,678,5,0,"73,2",0,0.0,0,
Vleeswaren gem,239,"16,6","2,7","17,9","0,2",0.0,0,
Bokking gerookt,242,"20,8","0,3","17,5",0,0.0,0,
Haringfilet in tomatensaus blik,201,12,"5,4","14,6","0,5",0.0,0,
Haring gezouten,172,"17,6","2,8","10,1",0,0.0,0,
Krab in water blik,85,"18,1",0,"1,4",0,0.0,200,glas
Makreel,233,18,0,"17,9",0,0.0,0,
Oesters,57,6,4,"1,9",0,0.0,0,
Sardines in olie blik,231,"21,7",0,16,0,0.0,0,
Lever schelvis- blik,409,7,0,"42,3",0,0.0,0,
Stokvis geweekt,138,"32,5",0,"0,9",0,0.0,0,
Eiwit kippenei,44,"10,5","0,4",0,0,0.0,0,
Loempia gefrituurd in plantaardige olie,181,"7,1","18,6","8,2",2,0.0,0,
Babyvoeding maaltijd 8 mnd,74,"3,4","9,7","2,1","1,7",0.0,0,
Suiker basterd- bruine,396,0,99,0,0,150.0,0,stuk
Suiker basterd- witte,396,0,99,0,0,150.0,0,stuk
Suiker kristal-,400,0,100,0,0,150.0,0,stuk
Stroop keuken-,328,0,82,0,0,0.0,0,
Stroop suiker-,300,0,75,0,0,150.0,0,stuk
Advocaat,236,"4,3","23,6","3,2",0,0.0,0,
Sap appel-,46,"0,1","11,2",0,0,135.0,200,stuk
Vruchtendrank rode bessen,57,0,14,0,"0,4",0.0,0,
Jenever bessen-,184,0,18,0,0,0.0,0,
Vruchtendrank zwarte bessen,61,0,15,0,"0,4",0.0,0,
Sap rode bessen-,42,"0,2",10,0,"0,6",0.0,200,
Bier oud bruin,38,"0,5","5,5",0,"0,2",150.0,250,glas
Bier pils,44,"0,4",3,0,"0,3",0.0,250,glas
Brandewijn,231,0,0,0,0,0.0,150,glas
Campari,180,0,10,0,0,0.0,0,
Jenever citroen-,180,0,3,0,0,120.0,0,
Cognac,224,0,0,0,0,0.0,0,
Frisdrank m suiker m cafeine,41,0,"10,4",0,0,150.0,200,stuk
Sap druiven-,65,"0,2","15,9",0,"0,2",5.0,200,stuk
Vruchtendrank frambozen,57,0,14,0,"0,4",4.0,0,
Frisdrank m suiker z cafeine,37,0,"9,2",0,0,150.0,200,stuk
Jenever jonge,196,0,0,0,0,0.0,0,
Jenever oude,200,0,1,0,0,0.0,0,
Likeur 15-25 vol% alc,242,0,29,0,0,0.0,0,
Muskaatwijn,162,0,"13,7",0,0,0.0,150,glas
Port,156,0,13,0,0,0.0,0,
Rum,234,0,0,0,0,0.0,0,
Sherry,111,0,"3,2",0,0,0.0,0,
Sap sinaasappel- gepasteuriseerd,45,"0,6","9,5","0,1","0,3",130.0,200,stuk
Sap tomaten-,16,"0,7","3,2",0,"0,4",0.0,200,
Vermouth zoete,150,0,"16,5",0,0,0.0,0,
Vieux,200,0,1,0,0,0.0,0,
Limonade vruchten- m suiker,41,0,"10,3",0,0,150.0,0,stuk
Whisky,245,0,0,0,0,0.0,0,
Wijn rode,82,0,3,0,0,0.0,150,glas
Wijn witte droge,67,"0,1","0,6",0,0,0.0,150,glas
Frisdrank Rivella,4,0,1,0,0,0.0,200,
Stroop appel-,280,"1,8","65,9",0,"4,6",135.0,0,stuk
Saus barbecue-,95,"0,9","22,2","0,1",1,0.0,0,
Bouillonblokje,273,"8,1","21,2","17,2","0,5",150.0,250,kom
Cacaopoeder,379,"18,5","10,5","21,7",34,0.0,0,
Chocolade melk-,548,7,52,"34,1","2,8",0.0,200,glas
Chocolade puur,531,"6,5","46,7","33,7","7,2",0.0,0,
Vlokken chocolade- melk,454,"5,8",72,15,"3,5",0.0,200,glas
Boter chocolade-,515,"1,6","53,6","32,2","2,4",0.0,0,
Vlokken chocolade- puur,444,"5,2",67,"15,5",7,0.0,0,
Pasta chocolade- hazelnoot,562,"5,7","53,9","35,3","2,9",0.0,0,
Saus cocktail/party/tafel- 25% olie,293,"0,7","13,7","26,1","0,2",0.0,0,
Gelatine,352,88,0,0,0,0.0,0,
Gember op siroop blik/glas,288,"1,8",69,0,"2,5",0.0,0,
Gistextract Marmite,238,"38,4","19,2","0,1","3,1",0.0,0,
Hagelslag vruchten-,393,"0,1","98,2",0,0,0.0,0,
Honing,321,"0,3",80,0,0,0.0,0,
Pasta chocolade- puur,575,3,"51,4","38,6","4,1",0.0,0,
Jam,248,"0,3","60,8","0,1","1,2",0.0,0,
Kauwgom,280,0,70,0,0,0.0,0,
Kauwgom z suiker,171,"0,1","66,4","0,6","2,4",150.0,0,stuk
Kokosbrood,426,"3,2","58,7","18,6","5,6",0.0,0,
Zuurtjes,380,0,95,0,0,0.0,0,
Mayonaise,664,"1,1","3,6","71,6","0,2",0.0,0,
Pepermunt,395,"0,6","98,2",0,0,0.0,0,
Piccalilly,53,"1,3","8,2","1,3","1,8",0.0,0,
Pindakaas,654,"22,5",10,"56,4",8,0.0,0,handje
Jam rozenbottel- m vit C,260,"1,8",62,"0,3",1,0.0,0,
Saus sla- 25% olie,278,"0,4","8,9","26,7","0,2",0.0,0,
Toffee,401,"0,6","85,6","6,2","0,1",0.0,0,
Ketchup tomaten-,77,1,"17,7",0,"0,8",0.0,0,
Siroop vruchtenlimonade-,233,0,"58,2",0,0,0.0,0,
Broodbeleg zoet gem,422,3,"64,2","16,5","2,5",0.0,0,
Saus frites- 25% olie,296,"0,5",12,"27,3","0,2",0.0,0,
Saus frites- 35% olie,375,"0,7",12,36,0,0.0,0,
Pannenkoek huishoudelijk bereid m margarine,203,"8,3","29,2","5,8","0,6",150.0,0,stuk
Tompouce,315,"3,8","36,5","16,9","0,7",0.0,0,
Babi pangang z rijst,131,"10,2","6,7",7,"0,4",0.0,0,
Bami goreng z ei,168,"6,6","26,3","3,7","1,4",0.0,0,
Nasi goreng m ei,144,"4,4","22,4","3,9","0,9",0.0,0,
Tjap tjoi z rijst,61,"3,9","3,2","3,4","0,9",0.0,0,
Foe yong hai z rijst,96,"4,8","4,6","6,2","1,3",0.0,0,
Oliebol gevuld m krenten en rozijnen,256,6,"37,1","8,8","2,2",0.0,0,
Lever kippen-,128,"19,1",1,"5,4",0,0.0,0,
Melk karne- m vruchten,51,"3,3","8,2","0,5",0,0.0,200,glas
Biscuit fourre omhuld m chocolade,500,"5,4","67,7","22,6","1,9",150.0,0,stuk
Koek Bastogne,493,"4,9","72,2","20,1","1,9",0.0,0,
Spekkie,334,"4,1","78,3","0,4","0,3",0.0,0,
Spread fruit- minder suiker,118,"0,5","27,7","0,2","1,7",150.0,0,stuk
IJs room/vanille- cornet m chocola en nootjes,302,"3,9","38,9","14,3","0,9",0.0,0,
Vlaai vruchten-,228,"2,9","41,6","5,1","1,1",0.0,0,
Candybar Mars,449,"4,1","70,2","16,6","1,3",0.0,0,
Puddingpoeder chocolade instant,370,1,89,1,"0,5",0.0,0,
Vlaai rijste-,211,"4,5","34,5",6,"0,7",0.0,0,
Siroop vruchtenlimonade- vruchtenmix m rozenbottel,185,"0,3","45,6",0,"0,6",0.0,0,
Siroop vruchtenlimonade- Roosvicee Fruitkracht Ferro,222,"0,2","55,2",0,"0,3",150.0,0,stuk
Siroop vruchtenlimonade- Roosvicee Fruitkracht Pruimen,225,"0,2",56,0,"0,2",150.0,0,stuk
Kaas Edammer 40+,324,"25,5",0,"24,3",0,0.0,0,
Kaas Goudse 48+ gem,370,"22,9",0,"30,6",0,0.0,0,
Kaas 20+ Leidse/Friese nagel-,240,"33,1",0,"11,9",0,0.0,0,
Kaas smeer- volvet 48+,260,"13,4","2,1","21,7","0,5",0.0,0,
Kaas smeer- 40+,227,16,2,17,0,0.0,0,
Kaas smeer- 20+,137,"17,2","1,7","6,8",0,0.0,0,
Drop zoute,330,"12,2","68,1","0,2","3,1",0.0,0,
Drop dubbelzoute,330,"12,2","68,1","0,2","3,1",0.0,0,
Drop zoete,333,"7,3","74,6","0,4",1,0.0,0,
Stophoest,396,"0,6","98,4",0,0,0.0,0,
Chocolade in krokant suikerlaagje M&M's,487,"4,6","68,6","20,7","2,7",150.0,0,stuk
Candybar Milky Way,448,4,"71,9","15,9","0,6",0.0,0,
Candybar Bounty,486,"3,7","58,3","26,1","1,5",0.0,0,
Candybar Snickers,484,"8,7","60,2","22,9","1,3",0.0,0,
